DateTime,dswrf,uswrf
'28-Feb-2017 07:30:00',0,0
'28-Feb-2017 10:30:00',4.5,2.375
'28-Feb-2017 13:30:00',145,27.1875
'28-Feb-2017 16:30:00',544.4375,73.875
'28-Feb-2017 19:30:00',366.75,58.8125
'28-Feb-2017 22:30:00',45,15.0625
'01-Mar-2017 01:30:00',0,0
'01-Mar-2017 04:30:00',0,0
'01-Mar-2017 07:30:00',0,0
'01-Mar-2017 10:30:00',5.5625,3
'01-Mar-2017 13:30:00',252.75,48.1875
'01-Mar-2017 16:30:00',604,83.125
'01-Mar-2017 19:30:00',439.0625,71.5625
'01-Mar-2017 22:30:00',64.625,21.4375
'02-Mar-2017 01:30:00',0,0
'02-Mar-2017 04:30:00',0,0
'02-Mar-2017 07:30:00',0,0
'02-Mar-2017 10:30:00',9.3125,4.8125
'02-Mar-2017 13:30:00',371.8125,71.3125
'02-Mar-2017 16:30:00',533.375,70.75
'02-Mar-2017 19:30:00',521.375,83.0625
'02-Mar-2017 22:30:00',78.9375,26.125
'03-Mar-2017 01:30:00',0,0
'03-Mar-2017 04:30:00',0,0
'03-Mar-2017 07:30:00',0,0
'03-Mar-2017 10:30:00',11.875,6.3125
'03-Mar-2017 13:30:00',417.3125,77.8125
'03-Mar-2017 16:30:00',751,99.6875
'03-Mar-2017 19:30:00',518.5625,79.25
'03-Mar-2017 22:30:00',69.4375,22.3125
'04-Mar-2017 01:30:00',0,0
'04-Mar-2017 04:30:00',0,0
'04-Mar-2017 07:30:00',0,0
'04-Mar-2017 10:30:00',10.75,5.4375
'04-Mar-2017 13:30:00',401.125,73.875
'04-Mar-2017 16:30:00',544.6875,71
'04-Mar-2017 19:30:00',523.375,80.9375
'04-Mar-2017 22:30:00',87.8125,28.0625
'05-Mar-2017 01:30:00',0,0
'05-Mar-2017 04:30:00',0,0
'05-Mar-2017 07:30:00',0,0
'05-Mar-2017 10:30:00',14.75,7.75
'05-Mar-2017 13:30:00',440,79.8125
'05-Mar-2017 16:30:00',778,101.375
'05-Mar-2017 19:30:00',588.875,90.4375
'05-Mar-2017 22:30:00',89.125,28.375
'06-Mar-2017 01:30:00',0,0
'06-Mar-2017 04:30:00',0,0
'06-Mar-2017 07:30:00',0,0
'06-Mar-2017 10:30:00',15.875,8.1875
'06-Mar-2017 13:30:00',442.25,79.75
'06-Mar-2017 16:30:00',773.0625,101.0625
'06-Mar-2017 19:30:00',580.8125,89.5625
'06-Mar-2017 22:30:00',75.125,23.3125
'07-Mar-2017 01:30:00',0,0
'07-Mar-2017 04:30:00',0,0
'07-Mar-2017 07:30:00',0,0
'07-Mar-2017 10:30:00',7.875,3.875
'07-Mar-2017 13:30:00',117.75,20.8125
'07-Mar-2017 16:30:00',205.25,27.875
'07-Mar-2017 19:30:00',141.125,22.375
'07-Mar-2017 22:30:00',25.5,8.0625
'08-Mar-2017 01:30:00',0,0
'08-Mar-2017 04:30:00',0,0
'08-Mar-2017 07:30:00',0,0
'08-Mar-2017 10:30:00',3.5625,1.6875
'08-Mar-2017 13:30:00',79.25,14.5
